subject_id,naive_acc,naive_prec,naive_rec,naive_f1,masked_acc,masked_prec,masked_rec,masked_f1
28,0.7995569180040701,0.8543431160133937,0.7005383580080754,0.7698337573211855,0.8634941946508399,0.8223921223280762,0.8199960087806825,0.8211923176849131
29,0.7844733590172276,0.7147276133913105,0.8975383454307341,0.7957687576875769,0.9098801811894208,0.9355622397038408,0.8975383454307341,0.9161559289007714
30,0.7153931018464754,0.40849795005590755,0.8846263412781312,0.5589069038441348,0.9415740679860609,0.9024945507386777,0.8846263412781312,0.8934711199558827
31,0.7982136514910354,0.8456785582934903,0.6735602554338274,0.7498695538742499,0.8408566375925426,0.8144676335337814,0.7414563458519502,0.7762489727975725
32,0.8069386887684624,0.692719643711583,0.9623654539411449,0.8055772543900013,0.9398283995097129,0.9174242608886397,0.9623654539411449,0.9393576401886652
33,0.7555527898776188,0.3988091148517119,0.8443151515151515,0.5417327733706642,0.94749898375043,0.905093555093555,0.8443151515151515,0.8736485639031731
34,0.7702310684821249,0.41567834054230035,0.8869647198928199,0.5660676114321906,0.950448775824526,0.8821932681867535,0.8869647198928199,0.8845725596931832
35,0.7603579858948923,0.3641278115648229,0.6909690419490749,0.4769250221266912,0.9192957164581886,0.8611380628959534,0.6909690419490749,0.7667251060802398
36,0.9072149875233937,0.8740610009955652,0.7414302713907336,0.8023011900558682,0.9436638986552116,0.8553834961546456,0.9249831422791639,0.8888228941684665
37,0.8320926122023264,0.8860351869305686,0.5536822989521215,0.6814975911074864,0.8480022716248033,0.8615590115446999,0.6448848419925013,0.7376396348561276
38,0.8500632921797169,0.9212159197743655,0.4639227321507481,0.617083359573441,0.8997737809022388,0.9106243154435926,0.5902873100771524,0.7162713227270117
39,0.8504219110922547,0.9093249150072851,0.5722013385898964,0.7024066327774755,0.8761202495745888,0.896227621483376,0.6012267307197392,0.7196693535965498
40,0.6557905089746742,0.40933549979953154,0.9996392682298376,0.5808306135281612,0.9212277199985993,0.8119715362076183,0.9996392682298376,0.8960849982676984
41,0.6558784866483078,0.43189003744646504,0.6465809527006613,0.5178662651574221,0.8545729762187723,0.9461145495628255,0.6465809527006613,0.7681815462540131
42,0.7220990047340367,0.459083988835321,0.8366151593387539,0.5928484633343801,0.9336209597724698,0.9448191827320597,0.8366151593387539,0.8874310239117107
43,0.685529609327968,0.4298588096427112,0.8025852934943845,0.5598604561782141,0.920038686370166,0.9515602231043666,0.8025852934943845,0.8707467353319844
44,0.7251201923076923,0.4572896213879138,0.9068989930774072,0.608003164348342,0.9359404274616037,0.8848338322204313,0.9068989930774072,0.8957305465988111
45,0.8241684439805781,0.7754784753122822,0.487841894033928,0.5989152037098376,0.836037182341922,0.7334521384928717,0.5422293323295535,0.6235087244690924
46,0.7386187342855615,0.587402171852574,0.8343013192815109,0.6894129612560786,0.7655905056820708,0.543435917413323,0.96875,0.6962815073621164
47,0.836357543941594,0.8526787964316315,0.5618544717877187,0.6773702754644458,0.8662996052358196,0.8547293479489207,0.6619551899177315,0.7460912453760788
48,0.9075456529229355,0.8773431734317343,0.7624096797639917,0.8158484695978404,0.9075466714855641,0.8773129921259842,0.8108710484421197,0.8427845408344167
49,0.876682167426478,0.6811590688651794,0.9877285513361462,0.8062858783008036,0.9562815103190627,0.8958160596976849,0.9877285513361462,0.9395297501588681
50,0.8303237858032378,0.706555636653175,0.9806603121978174,0.8213424863572378,0.9409555039017101,0.8977742180254616,0.9806603121978174,0.9373885868967187
51,0.846624318640285,0.8196400261120955,0.6276960434223683,0.7109403437815977,0.8525609149676777,0.8196400261120955,0.6569741366422485,0.7293473299863077
52,0.8925503737145186,0.8915216368767639,0.6497129145599452,0.7516482427006396,0.9121690818782324,0.8798280466358367,0.7292161520190024,0.7974732119136877
53,0.8062232836647457,0.6907658332085641,0.8627629733520337,0.7672431713299795,0.9066671878970309,0.909357445550409,0.8627629733520337,0.8854476537760292
54,0.8767392900856793,0.7822800617831673,0.7996774952128196,0.7908831151571534,0.8764127403493321,0.7822800617831673,0.8463644444444445,0.8130614475526864
55,0.7801180056893002,0.7690992018244014,0.2856915949702184,0.4166232362422067,0.8159459001899889,0.7170286433742524,0.2882814477347507,0.4112284502211391
56,0.889071553158644,0.7538548408113626,0.7627334651724895,0.7582681637467779,0.9238237985966494,0.7243542973880053,0.9949225013361839,0.8383482984772145
57,0.8829646040819739,0.8762349559906593,0.6979788946521195,0.7770145152619319,0.9294001380860195,0.8882384770524866,0.8598571428571429,0.8738174163420358
58,0.7669890151159515,0.8699726878380549,0.4204736637763686,0.5669365533607873,0.7981030479671986,0.8410682725666034,0.47999551720273453,0.6111877467535556
59,0.8734694635922781,0.8447718132540654,0.6574470980472206,0.739429883298259,0.8998372807810523,0.8115680551870522,0.7626789009125816,0.7863643374980719
